Protein,Filename,Chain
5D8V,pdb5d8v.ent.gz,A
3NIR,pdb3nir.ent.gz,A
5NW3,pdb5nw3.ent.gz,A
1UCS,pdb1ucs.ent.gz,A
3X2M,pdb3x2m.ent.gz,A
2VB1,pdb2vb1.ent.gz,A
1US0,pdb1us0.ent.gz,A
2DSX,pdb2dsx.ent.gz,A
1YK4,pdb1yk4.ent.gz,A
6E6O,pdb6e6o.ent.gz,A
6S2M,pdb6s2m.ent.gz,A
1R6J,pdb1r6j.ent.gz,A
4REK,pdb4rek.ent.gz,A
4I8H,pdb4i8h.ent.gz,A
2WFI,pdb2wfi.ent.gz,A
2OV0,pdb2ov0.ent.gz,A
2B97,pdb2b97.ent.gz,A
3X34,pdb3x34.ent.gz,A
7FEZ,7FEZ.pdb.gz,A
7KR0,pdb7kr0.ent.gz,A
6L27,pdb6l27.ent.gz,A
5YCE,pdb5yce.ent.gz,A
5KWM,pdb5kwm.ent.gz,A
1GCI,pdb1gci.ent.gz,A
7A5M,pdb7a5m.ent.gz,A
5GV8,pdb5gv8.ent.gz,A
6ZM8,pdb6zm8.ent.gz,A
1X6Z,pdb1x6z.ent.gz,A
4UA6,pdb4ua6.ent.gz,A
2PVE,pdb2pve.ent.gz,A
5TDA,pdb5tda.ent.gz,A
7AF2,7AF2.pdb.gz,AAA
3UI4,pdb3ui4.ent.gz,A
5AL6,pdb5al6.ent.gz,A
1PQ7,pdb1pq7.ent.gz,A
5NFM,pdb5nfm.ent.gz,A
1W0N,pdb1w0n.ent.gz,A
2IXT,pdb2ixt.ent.gz,A
5HB7,pdb5hb7.ent.gz,A
2H5C,pdb2h5c.ent.gz,A
2VXN,pdb2vxn.ent.gz,A
1NWZ,pdb1nwz.ent.gz,A
8C3X,8C3X.pdb.gz,A
7AVK,pdb7avk.ent.gz,A
2JFR,pdb2jfr.ent.gz,A
2O9S,pdb2o9s.ent.gz,A
4Y9W,pdb4y9w.ent.gz,A
2PWA,pdb2pwa.ent.gz,A
6TGU,pdb6tgu.ent.gz,A
1P9G,pdb1p9g.ent.gz,A
7BNH,pdb7bnh.ent.gz,A
2O7A,pdb2o7a.ent.gz,A
2YKZ,pdb2ykz.ent.gz,A
4EIC,pdb4eic.ent.gz,A
6EIO,pdb6eio.ent.gz,A
2HS1,pdb2hs1.ent.gz,A
4PSS,pdb4pss.ent.gz,A
1M40,pdb1m40.ent.gz,A
4AYO,pdb4ayo.ent.gz,A
6Q00,pdb6q00.ent.gz,A
6Q00,pdb6q00.ent.gz,B
3O4P,pdb3o4p.ent.gz,A
6ETL,pdb6etl.ent.gz,A
1MC2,pdb1mc2.ent.gz,A
1X8Q,pdb1x8q.ent.gz,A
7BBX,pdb7bbx.ent.gz,A
4O8H,pdb4o8h.ent.gz,A
7AOT,pdb7aot.ent.gz,A
3QPA,pdb3qpa.ent.gz,A
5EMB,pdb5emb.ent.gz,A
2FMA,pdb2fma.ent.gz,A
5XVT,pdb5xvt.ent.gz,A
2F01,pdb2f01.ent.gz,A
1G6X,pdb1g6x.ent.gz,A
3WDN,pdb3wdn.ent.gz,A
1MUW,pdb1muw.ent.gz,A
3ZSJ,pdb3zsj.ent.gz,A
5AVD,pdb5avd.ent.gz,A
6ZPA,pdb6zpa.ent.gz,A
2DDX,pdb2ddx.ent.gz,A
5AKR,pdb5akr.ent.gz,A
7R25,7R25.pdb.gz,A
1V6P,pdb1v6p.ent.gz,A
4HS1,pdb4hs1.ent.gz,A
5L87,pdb5l87.ent.gz,A
5O99,pdb5o99.ent.gz,A
1GWE,pdb1gwe.ent.gz,A
3ZOJ,pdb3zoj.ent.gz,A
3FIL,pdb3fil.ent.gz,A
4F1V,pdb4f1v.ent.gz,A
5LP9,pdb5lp9.ent.gz,A
1I1W,pdb1i1w.ent.gz,A
4U9H,pdb4u9h.ent.gz,L
4U9H,pdb4u9h.ent.gz,S
6KFN,pdb6kfn.ent.gz,A
7TVL,7TVL.pdb.gz,A
4O6U,pdb4o6u.ent.gz,A
5HBS,pdb5hbs.ent.gz,A
4UYR,pdb4uyr.ent.gz,A
3IP0,pdb3ip0.ent.gz,A
4WEE,pdb4wee.ent.gz,A
4Y9V,pdb4y9v.ent.gz,A
1G66,pdb1g66.ent.gz,A
1IX9,pdb1ix9.ent.gz,A
6KLZ,pdb6klz.ent.gz,A
7OUZ,7OUZ.pdb.gz,A
6FMC,pdb6fmc.ent.gz,A
4NPD,pdb4npd.ent.gz,A
1VYR,pdb1vyr.ent.gz,A
7PGZ,7PGZ.pdb.gz,AAA
5X9L,pdb5x9l.ent.gz,A
7PSY,7PSY.pdb.gz,A
1OEW,pdb1oew.ent.gz,A
3VOR,pdb3vor.ent.gz,A
3G21,pdb3g21.ent.gz,A
1N9B,pdb1n9b.ent.gz,A
5GJI,pdb5gji.ent.gz,A
3ZR8,pdb3zr8.ent.gz,X
7A2P,pdb7a2p.ent.gz,A
4NSV,pdb4nsv.ent.gz,A
4EA9,pdb4ea9.ent.gz,A
6XVM,pdb6xvm.ent.gz,A
2XU3,pdb2xu3.ent.gz,A
6LK1,pdb6lk1.ent.gz,A
1J0P,pdb1j0p.ent.gz,A
